State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
01,073,AL,Jefferson County,"119,809","111,786","127,832",18.6,17.4,19.8,"42,130","38,406","45,854",27.7,25.3,30.1,"29,001","26,102","31,900",26.7,24.0,29.4,"41,740","40,644","42,836",,,,,,
01,075,AL,Lamar County,"3,068","2,459","3,677",21.5,17.2,25.8,998,776,"1,220",31.4,24.4,38.4,699,552,846,30.2,23.8,36.6,"32,993","30,580","35,406",,,,,,
01,077,AL,Lauderdale County,"15,992","13,530","18,454",17.6,14.9,20.3,"5,077","4,086","6,068",25.7,20.7,30.7,"3,477","2,778","4,176",23.8,19.0,28.6,"39,213","36,645","41,781",,,,,,
01,079,AL,Lawrence County,"6,166","5,037","7,295",18.1,14.8,21.4,"1,887","1,441","2,333",24.1,18.4,29.8,"1,328","1,016","1,640",23.3,17.8,28.8,"37,365","34,452","40,278",,,,,,
01,081,AL,Lee County,"28,964","26,086","31,842",21.3,19.2,23.4,"6,455","5,180","7,730",20.6,16.5,24.7,"4,280","3,397","5,163",18.9,15.0,22.8,"40,102","37,535","42,669",,,,,,
01,083,AL,Limestone County,"11,284","9,258","13,310",14.1,11.6,16.6,"3,840","2,974","4,706",19.5,15.1,23.9,"2,544","1,978","3,110",17.8,13.8,21.8,"49,667","46,291","53,043",,,,,,
01,085,AL,Lowndes County,"3,419","2,752","4,086",30.7,24.7,36.7,"1,242",973,"1,511",45.8,35.9,55.7,865,681,"1,049",44.1,34.7,53.5,"28,754","26,007","31,501",,,,,,
01,087,AL,Macon County,"6,160","4,904","7,416",31.2,24.8,37.6,"2,034","1,638","2,430",46.8,37.7,55.9,"1,345","1,067","1,623",42.4,33.7,51.1,"27,041","24,981","29,101",,,,,,
01,089,AL,Madison County,"41,676","37,384","45,968",12.7,11.4,14.0,"14,164","12,130","16,198",18.0,15.4,20.6,"9,527","7,992","11,062",16.5,13.8,19.2,"54,633","51,699","57,567",,,,,,
01,091,AL,Marengo County,"4,883","3,873","5,893",23.6,18.7,28.5,"1,672","1,269","2,075",32.5,24.7,40.3,"1,183",899,"1,467",30.9,23.5,38.3,"33,085","30,030","36,140",,,,,,
01,093,AL,Marion County,"6,240","4,875","7,605",20.9,16.3,25.5,"2,041","1,556","2,526",31.1,23.7,38.5,"1,452","1,117","1,787",29.9,23.0,36.8,"32,080","29,740","34,420",,,,,,
01,095,AL,Marshall County,"17,797","15,122","20,472",19.4,16.5,22.3,"7,063","5,839","8,287",30.9,25.5,36.3,"4,591","3,724","5,458",28.1,22.8,33.4,"38,859","36,552","41,166",,,,,,
01,097,AL,Mobile County,"83,457","75,667","91,247",20.5,18.6,22.4,"29,496","25,543","33,449",28.9,25.0,32.8,"19,698","16,686","22,710",26.7,22.6,30.8,"39,753","38,007","41,499",,,,,,
01,099,AL,Monroe County,"6,443","5,566","7,320",28.4,24.5,32.3,"2,867","2,529","3,205",49.9,44.0,55.8,"1,796","1,530","2,062",41.3,35.2,47.4,"31,744","28,917","34,571",,,,,,
